Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2.119,0.918,19.698,0,2.675,20.302,0,1.858,1.919,255,255
1,1.245,4.800,20.407,0,3.803,20.879,0,1.103,1.154,255,255
1,0.797,3.200,20.485,0,3.803,20.879,0,0.720,0.683,255,255
1,0.747,3.095,19.436,0,3.252,20.118,0,0.700,0.707,255,255
1,0.664,0.341,19.593,0,0.918,19.698,0,0.587,0.602,255,255
1,0.629,3.751,19.803,0,3.252,20.118,0,0.589,0.604,255,255
1,0.612,4.013,21.403,0,3.803,20.879,0,0.565,0.579,255,255
1,0.601,2.675,20.302,0,3.200,20.485,0,0.556,0.508,255,255
1,0.471,0.603,20.039,0,0.918,19.698,0,0.464,0.420,255,255
1,0.411,3.200,20.485,0,3.252,20.118,0,0.371,0.345,255,255
1,0.386,2.413,20.564,0,2.675,20.302,0,0.371,0.373,255,255
2,1.129,2.098,14.636,0,1.364,15.292,0,0.985,1.064,255,255
2,0.675,2.151,15.948,0,1.574,15.711,0,0.623,0.628,255,255
2,0.522,1.364,15.292,0,1.574,15.711,0,0.469,0.431,255,255
2,0.411,1.469,16.079,0,1.574,15.711,0,0.382,0.341,255,255
2,0.347,1.049,15.266,0,1.364,15.292,0,0.316,0.325,255,255
2,0.249,1.285,16.236,0,1.469,16.079,0,0.242,0.235,255,255
2,0.116,1.548,16.131,0,1.469,16.079,0,0.095,0.108,255,255
3,0.959,2.439,5.141,0,2.675,4.302,0,0.872,0.858,255,255
3,0.956,3.043,3.541,0,2.675,4.302,0,0.845,0.913,255,255
3,0.612,2.885,4.852,0,2.439,5.141,0,0.531,0.587,255,255
3,0.505,3.069,4.538,0,2.675,4.302,0,0.459,0.484,255,255
3,0.441,2.020,5.193,0,2.439,5.141,0,0.423,0.396,255,255
3,0.400,2.308,4.223,0,2.675,4.302,0,0.376,0.386,255,255
3,0.391,1.705,5.010,0,2.020,5.193,0,0.364,0.255,255,255
3,0.142,1.574,5.036,0,1.705,5.010,0,0.134,0.148,255,255
3,0.131,2.020,5.325,0,2.020,5.193,0,0.131,0.131,255,255
3,0.063,1.731,4.957,0,1.705,5.010,0,0.059,0.063,255,255
4,0.672,2.046,21.875,0,2.544,22.295,0,0.652,0.604,255,255
4,0.489,1.600,21.770,0,2.046,21.875,0,0.458,0.470,255,255
4,0.411,2.911,22.400,0,2.544,22.295,0,0.382,0.398,255,255
4,0.384,2.780,22.898,0,2.675,22.557,0,0.357,0.373,255,255
4,0.317,2.544,22.295,0,2.675,22.557,0,0.293,0.250,255,255
4,0.301,2.911,22.715,0,2.675,22.557,0,0.284,0.274,255,255
4,0.232,2.046,21.666,0,2.046,21.875,0,0.210,0.221,255,255
5,0.869,2.728,14.400,0,3.489,14.243,0,0.777,0.801,255,255
5,0.629,4.013,13.193,0,3.698,13.692,0,0.589,0.593,255,255
5,0.621,3.489,14.243,0,3.593,13.666,0,0.587,0.532,255,255
5,0.539,3.803,14.636,0,3.489,14.243,0,0.504,0.522,255,255
5,0.487,4.066,13.980,0,3.698,13.692,0,0.467,0.418,255,255
5,0.431,3.567,13.246,0,3.593,13.666,0,0.420,0.426,255,255
5,0.116,3.593,13.666,0,3.698,13.692,0,0.108,0.026,255,255
6,1.084,3.803,23.213,0,3.698,22.216,0,1.002,1.019,255,255
6,0.686,3.961,21.639,0,3.698,22.216,0,0.634,0.595,255,255
6,0.413,3.384,21.980,0,3.698,22.216,0,0.393,0.265,255,255
