 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.474,0.577,0.393,0,0.997,0.525,0,0.440,0.380,255,255
2,1,0.354,0.289,0.761,0,0.446,0.472,0,0.329,0.335,255,255
3,1,0.332,1.285,0.420,0,0.997,0.525,0,0.307,0.306,255,255
4,1,0.301,0.892,0.761,0,0.997,0.525,0,0.258,0.284,255,255
5,1,0.290,0.210,0.341,0,0.446,0.472,0,0.270,0.258,255,255
6,1,0.179,0.446,0.472,0,0.577,0.393,0,0.153,0.124,255,255
7,1,0.063,0.551,0.341,0,0.577,0.393,0,0.059,0.056,255,255
8,2,0.074,0.210,20.695,0,0.262,20.643,0,0.074,0.074,255,255
9,3,0.190,0.315,5.666,0,0.472,5.692,0,0.160,0.178,255,255
10,4,1.365,0.341,6.164,0,1.521,6.138,0,1.181,1.295,255,255
11,5,0.026,0.420,8.289,0,0.446,8.289,0,0.026,0.026,255,255
12,6,0.422,0.577,7.161,0,0.761,6.846,0,0.364,0.394,255,255
13,6,0.247,0.997,6.872,0,0.761,6.846,0,0.238,0.247,255,255
14,6,0.127,0.708,6.741,0,0.761,6.846,0,0.117,0.113,255,255
15,7,1.007,0.682,21.744,0,1.023,22.610,0,0.930,0.959,255,255
16,7,0.874,1.784,22.846,0,1.023,22.610,0,0.796,0.833,255,255
17,7,0.828,1.049,23.318,0,1.023,22.610,0,0.709,0.762,255,255
18,8,0.384,0.866,14.164,0,1.207,14.269,0,0.357,0.352,255,255
19,9,0.164,0.997,12.066,0,1.128,12.144,0,0.153,0.169,255,255
20,10,1.053,4.197,13.587,0,3.436,13.246,0,0.834,0.986,255,255
21,10,0.758,2.361,13.587,0,3.043,13.403,0,0.706,0.616,255,255
22,10,0.666,2.439,12.984,0,2.046,13.456,0,0.615,0.620,255,255
23,10,0.622,1.154,13.403,0,1.679,13.272,0,0.541,0.516,255,255
24,10,0.520,1.679,13.272,0,2.046,13.456,0,0.411,0.473,255,255
25,10,0.498,3.751,13.666,0,3.384,13.351,0,0.484,0.476,255,255
26,10,0.437,1.679,13.272,0,1.784,12.879,0,0.407,0.392,255,255
27,10,0.397,2.780,13.115,0,3.043,13.403,0,0.390,0.376,255,255
28,10,0.369,2.046,13.456,0,2.361,13.587,0,0.341,0.279,255,255
29,10,0.363,3.043,13.403,0,3.384,13.351,0,0.345,0.322,255,255
30,10,0.358,2.466,13.902,0,2.361,13.587,0,0.332,0.331,255,255
31,10,0.216,1.967,12.800,0,1.784,12.879,0,0.200,0.204,255,255
32,10,0.190,3.357,13.089,0,3.436,13.246,0,0.176,0.171,255,255
33,10,0.179,1.207,13.561,0,1.154,13.403,0,0.166,0.185,255,255
34,10,0.127,1.049,13.456,0,1.154,13.403,0,0.117,0.123,255,255
35,10,0.127,1.731,12.774,0,1.784,12.879,0,0.117,0.113,255,255
36,10,0.127,3.384,13.351,0,3.436,13.246,0,0.117,0.052,255,255
37,11,0.605,1.049,25.128,0,1.128,25.679,0,0.556,0.582,255,255
38,11,0.559,1.233,26.151,0,1.128,25.679,0,0.484,0.506,255,255
39,11,0.448,1.521,25.600,0,1.128,25.679,0,0.401,0.427,255,255
40,12,0.284,1.180,8.184,0,1.233,7.921,0,0.267,0.280,255,255
41,12,0.273,1.495,7.895,0,1.233,7.921,0,0.264,0.264,255,255
42,12,0.063,1.180,7.895,0,1.233,7.921,0,0.059,0.056,255,255
43,13,0.332,1.233,15.134,0,1.443,15.003,0,0.247,0.289,255,255
44,15,1.048,2.177,17.023,0,2.387,16.105,0,0.942,1.017,255,255
45,15,0.878,1.574,15.948,0,2.387,16.105,0,0.828,0.772,255,255
46,15,0.690,1.416,15.344,0,1.574,15.948,0,0.623,0.653,255,255
47,15,0.384,2.885,15.790,0,2.544,15.895,0,0.357,0.355,255,255
48,15,0.360,2.780,16.289,0,2.518,16.052,0,0.353,0.339,255,255
49,15,0.280,2.597,15.659,0,2.544,15.895,0,0.242,0.267,255,255
50,15,0.168,2.518,16.052,0,2.544,15.895,0,0.160,0.131,255,255
51,15,0.153,2.387,16.105,0,2.518,16.052,0,0.141,0.056,255,255
52,15,0.037,1.548,15.974,0,1.574,15.948,0,0.037,0.037,255,255
53,16,0.469,1.521,18.754,0,1.836,19.016,0,0.410,0.441,255,255
54,17,1.336,2.230,4.616,0,3.016,5.534,0,1.209,1.193,255,255
55,17,1.214,2.544,6.321,0,2.885,7.239,0,0.979,1.034,255,255
56,17,0.991,1.652,5.928,0,2.361,6.321,0,0.810,0.941,255,255
57,17,0.989,2.964,5.928,0,3.646,6.557,0,0.928,0.886,255,255
58,17,0.784,3.672,7.449,0,3.698,6.741,0,0.709,0.731,255,255
59,17,0.736,1.548,4.590,0,2.230,4.616,0,0.682,0.703,255,255
60,17,0.679,3.646,5.508,0,3.016,5.534,0,0.630,0.665,255,255
61,17,0.640,2.570,4.118,0,2.230,4.616,0,0.604,0.614,255,255
62,17,0.620,3.436,5.089,0,3.016,5.534,0,0.612,0.606,255,255
63,17,0.598,2.544,6.321,0,2.964,5.928,0,0.575,0.502,255,255
64,17,0.537,4.170,6.636,0,3.698,6.741,0,0.484,0.519,255,255
65,17,0.437,2.964,5.928,0,3.016,5.534,0,0.397,0.355,255,255
66,17,0.402,3.934,6.321,0,3.646,6.557,0,0.373,0.367,255,255
67,17,0.289,3.174,7.239,0,2.885,7.239,0,0.289,0.289,255,255
68,17,0.205,3.646,6.557,0,3.698,6.741,0,0.191,0.132,255,255
69,17,0.194,2.859,7.423,0,2.885,7.239,0,0.185,0.185,255,255
70,17,0.184,2.361,6.321,0,2.544,6.321,0,0.184,0.131,255,255
71,17,0.090,2.334,6.400,0,2.361,6.321,0,0.083,0.093,255,255
72,18,0.026,1.574,7.895,0,1.574,7.921,0,0.026,0.026,255,255
73,19,0.553,2.256,14.216,0,1.757,14.295,0,0.505,0.526,255,255
74,19,0.164,1.731,14.164,0,1.757,14.295,0,0.134,0.136,255,255
75,19,0.063,1.731,14.348,0,1.757,14.295,0,0.059,0.063,255,255
76,20,0.026,1.731,26.256,0,1.757,26.256,0,0.026,0.026,255,255
77,21,0.522,2.125,11.646,0,1.810,11.331,0,0.445,0.492,255,255
78,21,0.116,1.836,11.226,0,1.810,11.331,0,0.108,0.116,255,255
79,21,0.063,1.757,11.305,0,1.810,11.331,0,0.059,0.056,255,255
80,22,0.747,1.836,3.043,0,2.387,2.754,0,0.622,0.707,255,255
81,22,0.454,2.597,3.121,0,2.387,2.754,0,0.423,0.423,255,255
82,22,0.417,2.623,2.466,0,2.387,2.754,0,0.373,0.387,255,255
83,23,0.448,1.889,23.187,0,2.203,23.397,0,0.378,0.428,255,255
84,24,0.090,1.915,0.525,0,1.993,0.498,0,0.083,0.094,255,255
85,25,0.749,2.885,21.875,0,2.439,22.348,0,0.649,0.695,255,255
86,25,0.603,2.859,22.610,0,2.439,22.348,0,0.495,0.552,255,255
87,25,0.365,2.177,22.138,0,2.439,22.348,0,0.336,0.351,255,255
88,26,0.290,2.256,3.462,0,2.413,3.620,0,0.223,0.266,255,255
89,26,0.269,2.570,3.777,0,2.413,3.620,0,0.223,0.247,255,255
90,26,0.127,2.361,3.725,0,2.413,3.620,0,0.117,0.123,255,255
91,27,0.706,2.256,25.075,0,2.282,24.446,0,0.630,0.649,255,255
92,27,0.164,2.413,24.525,0,2.282,24.446,0,0.153,0.153,255,255
93,27,0.026,2.282,24.420,0,2.282,24.446,0,0.026,0.026,255,255
94,28,0.954,2.702,18.020,0,3.489,18.020,0,0.787,0.883,255,255
95,28,0.365,3.305,17.731,0,3.489,18.020,0,0.342,0.294,255,255
96,28,0.295,3.987,17.993,0,3.725,18.020,0,0.264,0.280,255,255
97,28,0.236,3.489,18.020,0,3.725,18.020,0,0.236,0.210,255,255
98,28,0.190,3.830,18.151,0,3.725,18.020,0,0.168,0.173,255,255
99,29,0.164,2.728,10.230,0,2.807,10.361,0,0.153,0.147,255,255
100,30,0.612,3.121,25.049,0,2.911,25.574,0,0.565,0.576,255,255
101,30,0.413,3.148,25.889,0,2.911,25.574,0,0.393,0.396,255,255
102,30,0.227,2.754,25.705,0,2.911,25.574,0,0.205,0.210,255,255
103,31,0.037,2.780,14.348,0,2.807,14.321,0,0.037,0.037,255,255
104,32,0.223,2.807,1.338,0,2.964,1.495,0,0.223,0.223,255,255
105,33,0.664,2.990,11.593,0,3.331,11.148,0,0.561,0.582,255,255
106,33,0.644,2.938,10.728,0,3.331,11.148,0,0.575,0.592,255,255
107,33,0.074,3.357,11.121,0,3.331,11.148,0,0.037,0.000,0,0
108,34,0.026,3.069,15.187,0,3.095,15.187,0,0.026,0.026,255,255
109,35,0.592,3.252,26.256,0,3.672,25.915,0,0.541,0.568,255,255
110,36,1.588,4.223,3.541,0,5.115,2.492,0,1.377,1.450,255,255
111,36,1.334,6.243,2.256,0,5.115,2.492,0,1.152,1.234,255,255
112,36,0.972,3.830,4.511,0,4.302,3.751,0,0.895,0.916,255,255
113,36,0.792,4.511,2.072,0,5.115,2.492,0,0.735,0.737,255,255
114,36,0.755,4.905,4.066,0,4.302,3.751,0,0.680,0.685,255,255
115,36,0.725,3.725,3.069,0,4.223,3.541,0,0.686,0.622,255,255
116,36,0.459,3.882,2.675,0,3.725,3.069,0,0.424,0.461,255,255
117,36,0.336,3.410,3.121,0,3.725,3.069,0,0.319,0.334,255,255
118,36,0.242,4.223,3.541,0,4.302,3.751,0,0.224,0.134,255,255
119,37,0.749,3.436,15.292,0,3.908,15.685,0,0.615,0.701,255,255
120,38,0.153,3.541,23.056,0,3.646,23.134,0,0.131,0.152,255,255
121,39,1.566,4.354,20.984,0,3.803,19.751,0,1.350,1.475,255,255
122,39,0.537,3.987,19.672,0,4.459,19.515,0,0.498,0.426,255,255
123,39,0.454,4.669,19.148,0,4.459,19.515,0,0.423,0.413,255,255
124,39,0.391,4.774,19.698,0,4.459,19.515,0,0.364,0.377,255,255
125,39,0.284,4.039,19.410,0,3.987,19.672,0,0.267,0.280,255,255
126,39,0.216,3.803,19.751,0,3.987,19.672,0,0.200,0.135,255,255
127,39,0.063,3.751,19.725,0,3.803,19.751,0,0.059,0.056,255,255
128,40,0.179,3.803,23.108,0,3.961,23.056,0,0.166,0.164,255,255
129,41,1.341,5.718,14.715,0,4.511,14.584,0,1.214,1.264,255,255
130,41,0.849,4.538,15.344,0,4.485,14.715,0,0.632,0.786,255,255
131,41,0.480,3.961,13.875,0,4.197,14.190,0,0.393,0.436,255,255
132,41,0.417,4.380,13.849,0,4.197,14.190,0,0.387,0.363,255,255
133,41,0.406,4.328,15.056,0,4.485,14.715,0,0.376,0.381,255,255
134,41,0.389,4.013,14.505,0,4.354,14.479,0,0.342,0.374,255,255
135,41,0.354,4.197,14.190,0,4.354,14.479,0,0.329,0.292,255,255
136,41,0.201,4.354,14.479,0,4.511,14.584,0,0.189,0.120,255,255
137,41,0.142,4.485,14.715,0,4.511,14.584,0,0.134,0.079,255,255
138,42,0.100,3.987,20.957,0,4.039,21.036,0,0.095,0.087,255,255
139,43,0.295,4.039,11.698,0,4.066,11.436,0,0.264,0.274,255,255
140,44,0.428,4.092,24.472,0,4.433,24.262,0,0.400,0.402,255,255
141,45,0.743,4.144,22.190,0,4.433,21.928,0,0.390,0.696,255,255
142,46,0.090,4.249,8.813,0,4.328,8.787,0,0.083,0.083,255,255
143,47,0.063,4.433,12.302,0,4.485,12.328,0,0.059,0.056,255,255
144,48,0.463,4.643,25.810,0,4.800,25.495,0,0.352,0.430,255,255
145,48,0.397,5.089,25.233,0,4.800,25.495,0,0.390,0.353,255,255
146,48,0.264,5.010,25.626,0,4.800,25.495,0,0.247,0.200,255,255
147,49,0.037,4.695,16.000,0,4.721,15.974,0,0.037,0.037,255,255
148,50,0.369,4.721,1.836,0,4.931,1.600,0,0.316,0.342,255,255
149,50,0.343,4.774,1.338,0,4.931,1.600,0,0.306,0.313,255,255
150,50,0.269,5.167,1.679,0,4.931,1.600,0,0.249,0.263,255,255
151,51,0.138,4.931,5.875,0,4.852,5.980,0,0.131,0.106,255,255
152,51,0.116,4.748,5.954,0,4.852,5.980,0,0.108,0.110,255,255
153,51,0.063,4.879,6.033,0,4.852,5.980,0,0.059,0.026,255,255
154,52,0.052,4.748,23.003,0,4.800,23.003,0,0.052,0.052,255,255
155,53,0.026,4.774,18.833,0,4.800,18.833,0,0.026,0.026,255,255
156,54,0.327,4.800,7.764,0,4.852,8.026,0,0.267,0.299,255,255
157,55,0.037,4.800,8.656,0,4.826,8.630,0,0.037,0.037,255,255
158,56,0.190,4.879,18.597,0,4.905,18.754,0,0.160,0.171,255,255
159,57,1.142,4.931,5.115,0,5.639,5.902,0,1.059,1.081,255,255
160,57,0.496,5.954,5.666,0,5.639,5.902,0,0.393,0.468,255,255
161,57,0.437,5.534,6.295,0,5.639,5.902,0,0.407,0.423,255,255
162,58,0.640,5.849,7.895,0,5.351,7.554,0,0.604,0.604,255,255
163,58,0.389,5.089,7.108,0,5.089,7.475,0,0.367,0.381,255,255
164,58,0.295,5.089,7.475,0,5.351,7.554,0,0.274,0.228,255,255
165,58,0.148,5.456,7.449,0,5.351,7.554,0,0.148,0.148,255,255
166,58,0.090,5.010,7.502,0,5.089,7.475,0,0.083,0.083,255,255
167,59,1.065,7.266,13.089,0,8.262,13.167,0,1.000,0.888,255,255
168,59,0.930,6.007,12.748,0,6.715,13.246,0,0.866,0.847,255,255
169,59,0.830,7.213,13.875,0,7.266,13.089,0,0.789,0.751,255,255
170,59,0.757,7.370,12.407,0,7.266,13.089,0,0.690,0.752,255,255
171,59,0.734,7.213,14.479,0,7.213,13.875,0,0.603,0.679,255,255
172,59,0.616,5.456,12.800,0,6.007,12.748,0,0.553,0.549,255,255
173,59,0.616,6.715,13.246,0,7.266,13.089,0,0.573,0.507,255,255
174,59,0.550,5.692,13.167,0,6.007,12.748,0,0.525,0.519,255,255
175,59,0.406,5.115,12.643,0,5.456,12.800,0,0.376,0.368,255,255
176,59,0.386,5.220,13.089,0,5.456,12.800,0,0.373,0.329,255,255
177,59,0.380,6.190,12.459,0,6.007,12.748,0,0.342,0.356,255,255
178,59,0.375,7.475,14.111,0,7.213,13.875,0,0.353,0.354,255,255
179,59,0.295,6.689,13.508,0,6.715,13.246,0,0.264,0.295,255,255
180,59,0.227,8.420,13.298,0,8.262,13.167,0,0.205,0.202,255,255
181,59,0.127,8.341,13.089,0,8.262,13.167,0,0.111,0.124,255,255
182,60,0.026,5.193,19.830,0,5.220,19.830,0,0.026,0.026,255,255
183,61,1.636,5.272,19.725,0,6.479,19.357,0,1.261,1.541,255,255
184,62,0.327,5.298,20.275,0,5.482,20.511,0,0.299,0.295,255,255
185,63,2.727,8.052,16.131,0,5.954,16.289,0,2.104,2.622,255,255
186,63,0.764,5.325,16.420,0,5.954,16.289,0,0.643,0.705,255,255
187,63,0.542,5.902,15.790,0,5.954,16.289,0,0.501,0.519,255,255
188,64,0.179,5.403,11.436,0,5.561,11.489,0,0.166,0.190,255,255
189,65,0.817,5.508,23.187,0,5.666,22.479,0,0.725,0.759,255,255
190,65,0.539,6.085,22.662,0,5.666,22.479,0,0.458,0.451,255,255
191,65,0.454,5.508,22.111,0,5.666,22.479,0,0.400,0.425,255,255
192,65,0.090,5.587,22.505,0,5.666,22.479,0,0.083,0.094,255,255
193,66,1.961,7.213,2.885,0,7.344,4.538,0,1.658,1.838,255,255
194,66,1.802,5.770,4.826,0,7.344,4.538,0,1.600,1.709,255,255
195,66,0.991,8.210,4.433,0,7.344,4.538,0,0.872,0.945,255,255
196,66,0.878,6.925,5.220,0,7.344,4.538,0,0.801,0.850,255,255
197,67,1.666,10.938,24.210,0,11.934,23.187,0,1.428,1.559,255,255
198,67,1.557,14.531,22.452,0,15.266,21.246,0,1.413,1.366,255,255
199,67,1.519,8.525,25.075,0,9.600,24.079,0,1.466,1.433,255,255
200,67,1.406,7.764,23.921,0,8.630,22.951,0,1.300,1.271,255,255
201,67,1.315,10.413,24.341,0,10.518,25.548,0,1.211,1.230,255,255
202,67,1.236,11.934,23.187,0,12.879,22.557,0,1.135,1.116,255,255
203,67,1.177,9.862,22.321,0,9.469,21.351,0,1.047,1.097,255,255
204,67,1.166,8.630,22.951,0,9.364,23.659,0,1.020,1.020,255,255
205,67,1.159,6.767,22.872,0,7.633,22.164,0,1.118,1.123,255,255
206,67,1.109,7.843,22.190,0,8.393,21.325,0,1.026,1.032,255,255
207,67,1.089,7.843,22.190,0,8.656,22.820,0,1.028,0.986,255,255
208,67,1.059,10.230,23.030,0,9.574,23.816,0,1.024,1.025,255,255
209,67,0.937,9.600,24.079,0,10.413,24.341,0,0.854,0.818,255,255
210,67,0.930,9.390,22.505,0,8.656,22.820,0,0.799,0.881,255,255
211,67,0.913,13.875,22.925,0,14.531,22.452,0,0.808,0.794,255,255
212,67,0.854,11.672,24.289,0,10.938,24.210,0,0.739,0.809,255,255
213,67,0.845,8.761,23.921,0,9.364,23.659,0,0.658,0.793,255,255
214,67,0.819,14.531,22.452,0,14.977,23.056,0,0.750,0.657,255,255
215,67,0.801,13.193,22.741,0,13.875,22.925,0,0.706,0.690,255,255
216,67,0.769,8.393,20.643,0,8.393,21.325,0,0.682,0.731,255,255
217,67,0.723,7.423,24.472,0,7.764,23.921,0,0.648,0.669,255,255
218,67,0.698,6.767,22.295,0,7.266,21.849,0,0.669,0.668,255,255
219,67,0.690,12.354,23.475,0,11.934,23.187,0,0.509,0.650,255,255
220,67,0.650,6.295,21.954,0,6.767,21.561,0,0.615,0.632,255,255
221,67,0.650,8.918,21.403,0,9.285,21.902,0,0.619,0.588,255,255
222,67,0.629,14.925,23.633,0,15.344,23.239,0,0.575,0.603,255,255
223,67,0.601,8.289,24.105,0,7.764,23.921,0,0.556,0.564,255,255
224,67,0.592,15.816,23.528,0,15.344,23.239,0,0.553,0.557,255,255
225,67,0.579,6.898,21.587,0,6.977,21.062,0,0.530,0.488,255,255
226,67,0.579,8.393,21.325,0,8.918,21.403,0,0.530,0.484,255,255
227,67,0.579,10.413,24.341,0,10.938,24.210,0,0.541,0.505,255,255
228,67,0.573,8.918,21.403,0,9.469,21.351,0,0.553,0.502,255,255
229,67,0.572,9.862,20.957,0,9.469,21.351,0,0.556,0.549,255,255
230,67,0.555,6.689,20.485,0,6.400,20.905,0,0.509,0.532,255,255
231,67,0.526,11.069,25.548,0,10.597,25.679,0,0.490,0.508,255,255
232,67,0.507,6.898,21.587,0,7.266,21.849,0,0.451,0.400,255,255
233,67,0.498,7.266,21.849,0,7.633,22.164,0,0.484,0.376,255,255
234,67,0.485,6.977,21.062,0,7.187,20.695,0,0.423,0.392,255,255
235,67,0.468,6.400,20.905,0,6.452,21.351,0,0.449,0.394,255,255
236,67,0.448,15.187,20.852,0,15.266,21.246,0,0.401,0.411,255,255
237,67,0.443,14.977,23.056,0,15.344,23.239,0,0.411,0.379,255,255
238,67,0.432,14.610,23.213,0,14.977,23.056,0,0.400,0.391,255,255
239,67,0.402,6.452,21.351,0,6.767,21.561,0,0.378,0.307,255,255
240,67,0.400,10.151,25.574,0,10.518,25.548,0,0.368,0.388,255,255
241,67,0.391,12.879,22.557,0,13.193,22.741,0,0.364,0.331,255,255
242,67,0.374,15.816,23.082,0,15.475,23.056,0,0.342,0.356,255,255
243,67,0.352,6.138,21.403,0,6.452,21.351,0,0.319,0.263,255,255
244,67,0.343,14.164,23.056,0,13.875,22.925,0,0.317,0.309,255,255
245,67,0.338,13.141,22.374,0,12.879,22.557,0,0.320,0.316,255,255
246,67,0.327,15.528,21.403,0,15.266,21.246,0,0.306,0.271,255,255
247,67,0.317,13.062,23.003,0,13.193,22.741,0,0.293,0.311,255,255
248,67,0.295,9.574,23.816,0,9.600,24.079,0,0.264,0.253,255,255
249,67,0.295,8.262,25.049,0,8.525,25.075,0,0.264,0.269,255,255
250,67,0.275,9.364,23.659,0,9.574,23.816,0,0.262,0.191,255,255
251,67,0.253,15.344,23.239,0,15.475,23.056,0,0.226,0.184,255,255
252,67,0.221,10.623,25.889,0,10.597,25.679,0,0.211,0.221,255,255
