 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.489,0.079,22.767,0,0.525,22.767,0,0.446,0.464,255,255
2,1,0.369,0.970,22.636,0,0.787,22.898,0,0.320,0.344,255,255
3,1,0.354,0.761,22.767,0,0.525,22.767,0,0.236,0.320,255,255
4,1,0.317,0.525,22.767,0,0.787,22.898,0,0.293,0.230,255,255
5,1,0.131,0.787,23.030,0,0.787,22.898,0,0.131,0.131,255,255
6,2,1.277,0.787,3.987,0,1.469,4.407,0,0.801,1.107,255,255
7,2,0.928,0.603,3.200,0,0.787,3.987,0,0.808,0.880,255,255
8,2,0.808,0.367,4.590,0,0.787,3.987,0,0.735,0.742,255,255
9,2,0.450,1.102,4.275,0,0.787,3.987,0,0.427,0.428,255,255
10,2,0.437,1.521,4.800,0,1.469,4.407,0,0.397,0.415,255,255
11,2,0.253,0.577,4.695,0,0.367,4.590,0,0.235,0.228,255,255
12,2,0.207,1.652,4.328,0,1.469,4.407,0,0.200,0.201,255,255
13,2,0.168,1.311,4.433,0,1.469,4.407,0,0.160,0.164,255,255
14,2,0.090,0.341,4.669,0,0.367,4.590,0,0.083,0.090,255,255
15,3,0.063,0.603,15.030,0,0.630,14.977,0,0.059,0.066,255,255
16,4,0.142,0.656,4.695,0,0.787,4.721,0,0.134,0.137,255,255
17,5,0.026,0.682,22.243,0,0.682,22.269,0,0.026,0.026,255,255
18,6,0.216,0.734,22.348,0,0.813,22.531,0,0.200,0.203,255,255
19,7,1.114,0.787,5.613,0,1.259,6.295,0,0.829,1.084,255,255
20,7,0.894,1.521,6.452,0,2.361,6.321,0,0.850,0.752,255,255
21,7,0.738,2.413,7.134,0,1.784,7.187,0,0.632,0.705,255,255
22,7,0.706,2.492,6.951,0,2.361,6.321,0,0.643,0.648,255,255
23,7,0.675,1.049,7.213,0,1.626,7.134,0,0.582,0.644,255,255
24,7,0.631,1.521,6.584,0,1.626,7.134,0,0.561,0.552,255,255
25,7,0.622,2.780,5.980,0,2.361,6.321,0,0.541,0.572,255,255
26,7,0.565,1.075,6.820,0,1.521,6.584,0,0.505,0.542,255,255
27,7,0.327,1.259,6.295,0,1.521,6.452,0,0.306,0.233,255,255
28,7,0.284,1.731,7.449,0,1.784,7.187,0,0.267,0.280,255,255
29,7,0.280,1.049,6.426,0,1.259,6.295,0,0.247,0.254,255,255
30,7,0.179,1.626,7.134,0,1.784,7.187,0,0.166,0.098,255,255
31,7,0.153,1.521,6.452,0,1.521,6.584,0,0.131,0.090,255,255
32,8,0.522,1.207,15.633,0,1.390,16.079,0,0.482,0.440,255,255
33,8,0.406,1.102,16.289,0,1.390,16.079,0,0.357,0.351,255,255
34,8,0.338,1.652,16.262,0,1.390,16.079,0,0.320,0.329,255,255
35,8,0.280,1.311,15.397,0,1.207,15.633,0,0.258,0.265,255,255
36,8,0.269,0.970,15.554,0,1.207,15.633,0,0.249,0.255,255,255
37,8,0.194,0.918,16.262,0,1.102,16.289,0,0.185,0.184,255,255
38,8,0.074,1.075,16.315,0,1.102,16.289,0,0.037,0.000,0,0
39,9,0.153,1.023,4.669,0,1.154,4.669,0,0.131,0.133,255,255
40,10,0.026,1.180,4.302,0,1.207,4.302,0,0.026,0.026,255,255
41,11,0.026,1.469,4.852,0,1.469,4.879,0,0.026,0.026,255,255
42,12,0.422,1.469,15.292,0,1.836,15.370,0,0.376,0.398,255,255
43,13,2.284,4.748,14.505,0,3.567,12.879,0,2.009,2.158,255,255
44,13,1.208,3.148,13.980,0,3.016,12.957,0,1.031,1.131,255,255
45,13,0.784,2.020,12.984,0,2.728,12.905,0,0.713,0.623,255,255
46,13,0.740,3.043,12.275,0,3.436,12.852,0,0.698,0.705,255,255
47,13,0.539,2.334,12.590,0,2.728,12.905,0,0.504,0.500,255,255
48,13,0.478,3.016,12.957,0,3.436,12.852,0,0.433,0.429,255,255
49,13,0.386,3.803,12.590,0,3.567,12.879,0,0.373,0.367,255,255
50,13,0.374,1.679,13.062,0,2.020,12.984,0,0.350,0.366,255,255
51,13,0.310,2.728,12.905,0,3.016,12.957,0,0.293,0.239,255,255
52,13,0.242,2.098,12.774,0,2.020,12.984,0,0.224,0.246,255,255
53,13,0.142,3.436,12.852,0,3.567,12.879,0,0.134,0.079,255,255
54,14,0.736,2.046,19.226,0,2.728,19.305,0,0.686,0.699,255,255
55,14,0.565,2.282,19.593,0,2.728,19.305,0,0.531,0.499,255,255
56,14,0.517,3.357,18.964,0,2.938,19.148,0,0.458,0.484,255,255
57,14,0.480,2.702,19.698,0,2.859,19.305,0,0.424,0.457,255,255
58,14,0.258,2.885,18.911,0,2.938,19.148,0,0.242,0.243,255,255
59,14,0.205,2.859,19.305,0,2.938,19.148,0,0.176,0.133,255,255
60,14,0.131,2.728,19.305,0,2.859,19.305,0,0.131,0.105,255,255
61,15,0.052,2.072,22.741,0,2.072,22.793,0,0.052,0.052,255,255
62,16,0.522,2.098,23.161,0,2.413,23.475,0,0.445,0.485,255,255
63,16,0.517,2.544,24.262,0,2.282,23.869,0,0.473,0.485,255,255
64,16,0.448,2.282,23.869,0,2.413,23.475,0,0.415,0.362,255,255
65,16,0.437,2.807,23.370,0,2.413,23.475,0,0.407,0.409,255,255
66,16,0.052,2.230,23.869,0,2.282,23.869,0,0.052,0.052,255,255
67,17,0.974,2.702,18.361,0,2.230,17.757,0,0.766,0.879,255,255
68,17,0.127,2.282,17.652,0,2.230,17.757,0,0.117,0.094,255,255
69,17,0.116,2.125,17.784,0,2.230,17.757,0,0.108,0.121,255,255
70,18,0.343,2.125,22.348,0,2.334,22.138,0,0.297,0.322,255,255
71,19,0.026,2.151,12.643,0,2.151,12.669,0,0.026,0.026,255,255
72,20,1.426,4.275,8.052,0,3.174,8.761,0,1.310,1.358,255,255
73,20,1.149,2.230,9.180,0,3.174,8.761,0,1.033,1.080,255,255
74,20,0.581,3.489,9.180,0,3.174,8.761,0,0.525,0.535,255,255
75,21,0.500,2.256,15.528,0,2.623,15.475,0,0.371,0.462,255,255
76,21,0.269,2.544,15.239,0,2.623,15.475,0,0.249,0.251,255,255
77,21,0.142,2.754,15.502,0,2.623,15.475,0,0.134,0.142,255,255
78,22,0.063,2.361,24.839,0,2.387,24.787,0,0.059,0.056,255,255
79,23,0.280,2.492,22.269,0,2.597,22.505,0,0.258,0.283,255,255
80,24,0.395,2.597,20.013,0,2.702,20.328,0,0.332,0.350,255,255
81,25,0.769,3.567,6.531,0,3.725,7.213,0,0.700,0.658,255,255
82,25,0.559,2.964,7.056,0,3.357,7.344,0,0.488,0.483,255,255
83,25,0.485,3.725,6.111,0,3.567,6.531,0,0.448,0.451,255,255
84,25,0.422,3.357,7.344,0,3.725,7.213,0,0.390,0.333,255,255
85,25,0.384,4.066,7.108,0,3.725,7.213,0,0.357,0.374,255,255
86,25,0.354,2.675,7.213,0,2.964,7.056,0,0.329,0.356,255,255
87,25,0.179,3.725,6.531,0,3.567,6.531,0,0.157,0.185,255,255
88,25,0.100,3.410,7.423,0,3.357,7.344,0,0.095,0.093,255,255
89,25,0.074,2.990,7.030,0,2.964,7.056,0,0.037,0.000,0,0
90,26,0.690,3.725,20.774,0,3.226,20.459,0,0.589,0.634,255,255
91,26,0.354,3.462,20.249,0,3.226,20.459,0,0.316,0.333,255,255
92,26,0.131,3.095,20.459,0,3.226,20.459,0,0.131,0.131,255,255
93,27,2.440,4.695,22.531,0,4.748,20.433,0,2.099,2.233,255,255
94,27,1.649,3.489,25.023,0,4.931,24.525,0,1.526,1.541,255,255
95,27,1.355,4.931,23.213,0,4.931,24.525,0,1.311,1.276,255,255
96,27,1.271,3.882,17.810,0,4.931,17.311,0,1.162,1.076,255,255
97,27,1.264,5.639,18.072,0,6.007,19.174,0,1.161,1.137,255,255
98,27,1.231,4.459,25.810,0,5.115,24.866,0,1.150,1.161,255,255
99,27,1.038,6.951,25.233,0,6.033,25.207,0,0.918,0.980,255,255
100,27,1.004,5.718,22.689,0,4.931,23.213,0,0.946,0.949,255,255
101,27,0.967,4.905,18.597,0,5.639,18.072,0,0.903,0.908,255,255
102,27,0.924,5.246,17.311,0,5.639,18.072,0,0.856,0.825,255,255
103,27,0.919,4.485,16.577,0,4.931,17.311,0,0.859,0.862,255,255
104,27,0.874,3.725,18.597,0,3.882,17.810,0,0.802,0.845,255,255
105,27,0.845,4.590,19.279,0,4.931,19.961,0,0.762,0.781,255,255
106,27,0.816,5.325,18.833,0,5.797,19.436,0,0.766,0.789,255,255
107,27,0.810,6.348,19.987,0,5.797,19.436,0,0.779,0.790,255,255
108,27,0.786,6.321,18.177,0,5.639,18.072,0,0.690,0.738,255,255
109,27,0.780,4.695,22.531,0,4.931,23.213,0,0.722,0.662,255,255
110,27,0.709,6.138,24.498,0,5.666,24.997,0,0.686,0.690,255,255
111,27,0.671,6.531,19.541,0,6.007,19.174,0,0.640,0.642,255,255
112,27,0.644,5.089,16.393,0,5.456,16.787,0,0.538,0.599,255,255
113,27,0.640,4.931,19.961,0,5.561,19.934,0,0.630,0.580,255,255
114,27,0.633,5.246,17.311,0,5.456,16.787,0,0.565,0.560,255,255
115,27,0.620,5.193,19.174,0,5.639,19.593,0,0.612,0.599,255,255
116,27,0.605,5.115,24.866,0,5.666,24.997,0,0.566,0.508,255,255
117,27,0.574,4.197,22.348,0,4.695,22.531,0,0.531,0.529,255,255
118,27,0.564,4.748,20.433,0,4.931,19.961,0,0.507,0.471,255,255
119,27,0.534,6.505,19.279,0,6.007,19.174,0,0.509,0.521,255,255
120,27,0.502,3.489,17.548,0,3.882,17.810,0,0.473,0.475,255,255
121,27,0.485,4.931,24.525,0,5.115,24.866,0,0.387,0.401,255,255
122,27,0.476,6.111,20.564,0,5.849,20.197,0,0.451,0.437,255,255
123,27,0.469,5.666,24.997,0,6.033,25.207,0,0.423,0.372,255,255
124,27,0.415,6.243,20.144,0,5.849,20.197,0,0.397,0.419,255,255
125,27,0.397,5.561,19.934,0,5.849,20.197,0,0.390,0.334,255,255
126,27,0.395,5.561,19.934,0,5.639,19.593,0,0.350,0.321,255,255
127,27,0.389,4.380,20.485,0,4.748,20.433,0,0.371,0.373,255,255
128,27,0.349,5.797,19.436,0,6.007,19.174,0,0.336,0.238,255,255
129,27,0.327,6.190,25.469,0,6.033,25.207,0,0.306,0.295,255,255
130,27,0.315,4.931,17.311,0,5.246,17.311,0,0.315,0.289,255,255
131,27,0.290,5.692,16.656,0,5.456,16.787,0,0.270,0.263,255,255
132,27,0.238,5.639,19.593,0,5.797,19.436,0,0.223,0.153,255,255
133,27,0.175,4.485,19.148,0,4.590,19.279,0,0.168,0.153,255,255
134,27,0.175,4.695,19.148,0,4.590,19.279,0,0.168,0.131,255,255
135,28,1.601,4.249,10.334,0,5.561,9.784,0,1.422,1.468,255,255
136,28,1.481,4.249,10.334,0,5.089,11.252,0,1.244,1.340,255,255
137,28,1.369,5.823,10.833,0,5.561,9.784,0,1.081,1.307,255,255
138,28,1.199,5.797,8.315,0,6.085,9.285,0,1.012,1.157,255,255
139,28,0.900,6.584,8.210,0,6.636,9.023,0,0.815,0.842,255,255
140,28,0.805,6.925,9.810,0,6.348,9.259,0,0.798,0.784,255,255
141,28,0.777,6.138,8.472,0,6.557,9.075,0,0.735,0.752,255,255
142,28,0.777,5.561,9.784,0,6.085,9.285,0,0.724,0.649,255,255
143,28,0.745,7.370,9.049,0,6.636,9.023,0,0.735,0.737,255,255
144,28,0.531,4.511,11.803,0,5.010,11.777,0,0.499,0.515,255,255
145,28,0.511,5.508,11.226,0,5.089,11.252,0,0.420,0.459,255,255
146,28,0.491,5.456,11.593,0,5.089,11.541,0,0.371,0.451,255,255
147,28,0.468,3.803,10.387,0,4.249,10.334,0,0.449,0.455,255,255
