 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
113,1,0,2,0,23,0.749,0,0,0.749
114,3,1,3,4,13,0.188,1,0,0.284
115,11,5,7,13,96,0.314,5,0,0.594
116,3,1,3,3,42,0.483,1,0,0.723
117,3,1,3,3,7,0.119,1,0,0.142
118,1,0,2,0,5,0.190,0,0,0.190
119,6,2,5,10,62,0.364,1,1,0.778
120,1,0,2,0,19,0.644,0,0,0.644
121,3,1,3,4,5,0.114,1,0,0.153
122,1,0,2,0,8,0.280,0,0,0.280
123,1,0,2,0,1,0.052,0,0,0.052
124,1,0,2,0,2,0.090,0,0,0.090
125,1,0,2,0,11,0.369,0,0,0.369
126,1,0,2,0,8,0.258,0,0,0.258
127,1,0,2,0,10,0.343,0,0,0.343
128,1,0,2,0,7,0.253,0,0,0.253
129,1,0,2,0,7,0.275,0,0,0.275
130,1,0,2,0,22,0.690,0,0,0.690
131,3,1,3,4,31,0.347,1,0,0.542
132,1,0,2,0,0,0.037,0,0,0.037
133,1,0,2,0,0,0.026,0,0,0.026
134,1,0,2,0,20,0.583,0,0,0.583
135,15,7,9,22,185,0.411,7,0,1.326
136,1,0,2,0,9,0.317,0,0,0.317
137,1,0,2,0,20,0.649,0,0,0.649
138,1,0,2,0,8,0.269,0,0,0.269
139,1,0,2,0,1,0.063,0,0,0.063
140,1,0,2,0,0,0.037,0,0,0.037
141,3,1,3,3,31,0.373,1,0,0.465
142,1,0,2,0,9,0.306,0,0,0.306
143,3,1,3,1,16,0.191,1,0,0.269
144,3,1,3,1,33,0.362,1,0,0.457
145,5,2,4,7,59,0.411,2,0,0.533
146,1,0,2,0,7,0.232,0,0,0.232
147,1,0,2,0,1,0.063,0,0,0.063
148,5,2,4,7,81,0.518,2,0,1.357
149,1,0,2,0,5,0.190,0,0,0.190
150,1,0,2,0,2,0.090,0,0,0.090
151,1,0,2,0,15,0.528,0,0,0.528
152,5,2,3,6,25,0.178,1,1,0.363
153,11,5,7,13,122,0.384,5,0,1.007
154,1,0,2,0,1,0.063,0,0,0.063
155,3,1,3,3,54,0.574,1,0,0.627
156,5,2,4,7,61,0.399,2,0,0.747
157,1,0,2,0,6,0.216,0,0,0.216
158,1,0,2,0,0,0.026,0,0,0.026
159,7,3,5,11,71,0.362,3,0,0.695
160,5,2,4,7,33,0.259,2,0,0.701
161,1,0,2,0,5,0.179,0,0,0.179
162,1,0,2,0,17,0.581,0,0,0.581
163,1,0,2,0,4,0.142,0,0,0.142
164,1,0,2,0,1,0.063,0,0,0.063
165,3,1,3,1,1,0.058,1,0,0.063
166,0,0,1,0,0,0.000,0,0,0.000
167,1,0,2,0,2,0.079,0,0,0.079
168,3,1,3,4,14,0.200,1,0,0.295
169,1,0,2,0,6,0.194,0,0,0.194
170,3,1,2,2,35,0.383,0,1,0.743
171,3,1,3,4,36,0.407,1,0,0.594
172,1,0,2,0,1,0.074,0,0,0.074
173,1,0,2,0,65,2.068,0,0,2.068
174,1,0,2,0,1,0.063,0,0,0.063
175,1,0,2,0,0,0.037,0,0,0.037
176,1,0,2,0,1,0.074,0,0,0.074
177,1,0,2,0,5,0.212,0,0,0.212
178,1,0,2,0,6,0.216,0,0,0.216
179,1,0,2,0,28,0.891,0,0,0.891
180,1,0,2,0,4,0.142,0,0,0.142
181,3,1,3,4,39,0.469,1,0,0.801
182,1,0,2,0,0,0.026,0,0,0.026
183,1,0,2,0,7,0.253,0,0,0.253
184,0,0,1,0,0,0.000,0,0,0.000
185,1,0,2,0,5,0.201,0,0,0.201
186,1,0,2,0,3,0.116,0,0,0.116
187,1,0,2,0,2,0.090,0,0,0.090
188,3,1,3,3,2,0.072,1,0,0.090
189,4,2,2,6,58,0.486,0,1,1.575
190,1,0,2,0,8,0.280,0,0,0.280
191,1,0,2,0,22,0.755,0,0,0.755
192,1,0,2,0,2,0.090,0,0,0.090
193,1,0,2,0,11,0.402,0,0,0.402
194,3,1,3,1,10,0.135,1,0,0.290
195,1,0,2,0,0,0.026,0,0,0.026
196,1,0,2,0,1,0.052,0,0,0.052
197,1,0,2,0,9,0.306,0,0,0.306
198,1,0,2,0,5,0.157,0,0,0.157
199,1,0,2,0,5,0.190,0,0,0.190
200,1,0,2,0,0,0.037,0,0,0.037
201,1,0,2,0,5,0.179,0,0,0.179
202,3,1,3,3,56,0.613,1,0,0.668
203,3,1,3,4,15,0.211,1,0,0.258
204,1,0,2,0,1,0.063,0,0,0.063
205,1,0,2,0,0,0.037,0,0,0.037
206,1,0,2,0,8,0.269,0,0,0.269
207,1,0,2,0,3,0.127,0,0,0.127
208,1,0,2,0,1,0.074,0,0,0.074
209,1,0,2,0,2,0.090,0,0,0.090
210,1,0,2,0,7,0.221,0,0,0.221
211,1,0,2,0,1,0.063,0,0,0.063
212,3,1,3,3,28,0.350,1,0,0.819
213,1,0,2,0,2,0.100,0,0,0.100
214,1,0,2,0,8,0.269,0,0,0.269
215,1,0,2,0,1,0.052,0,0,0.052
216,3,1,3,1,5,0.084,1,0,0.090
217,1,0,2,0,3,0.127,0,0,0.127
218,1,0,2,0,6,0.194,0,0,0.194
219,1,0,2,0,0,0.026,0,0,0.026
220,3,1,3,3,29,0.341,1,0,0.406
221,1,0,2,0,0,0.026,0,0,0.026
222,1,0,2,0,8,0.258,0,0,0.258
223,1,0,2,0,0,0.037,0,0,0.037
224,1,0,2,0,11,0.391,0,0,0.391
225,1,0,2,0,3,0.116,0,0,0.116
226,0,0,1,0,0,0.000,0,0,0.000
227,1,0,2,0,4,0.153,0,0,0.153
228,10,3,8,13,118,0.423,1,1,0.775
229,5,2,4,4,62,0.429,2,0,0.633
230,9,4,6,11,126,0.489,4,0,1.029
231,3,1,3,1,6,0.090,1,0,0.168
232,1,0,2,0,2,0.111,0,0,0.111
233,1,0,2,0,0,0.026,0,0,0.026
234,1,0,2,0,25,0.769,0,0,0.769
235,1,0,2,0,5,0.179,0,0,0.179
236,1,0,2,0,11,0.369,0,0,0.369
237,6,2,5,11,54,0.358,1,1,0.596
238,1,0,2,0,1,0.074,0,0,0.074
239,1,0,2,0,1,0.063,0,0,0.063
240,5,2,4,6,93,0.621,2,0,1.171
241,1,0,2,0,2,0.100,0,0,0.100
242,1,0,2,0,1,0.063,0,0,0.063
243,3,1,3,4,11,0.167,1,0,0.242
244,1,0,2,0,4,0.153,0,0,0.153
245,3,1,3,4,14,0.200,1,0,0.374
246,1,0,2,0,32,1.083,0,0,1.083
247,1,0,2,0,12,0.374,0,0,0.374
248,1,0,2,0,7,0.275,0,0,0.275
249,1,0,2,0,3,0.127,0,0,0.127
250,1,0,2,0,0,0.037,0,0,0.037
251,4,1,4,6,26,0.268,0,1,0.400
252,1,0,2,0,2,0.100,0,0,0.100
253,1,0,2,0,4,0.153,0,0,0.153
254,1,0,2,0,3,0.127,0,0,0.127
255,18,8,11,24,280,0.506,7,1,1.547
256,5,2,4,4,44,0.307,2,0,1.064
257,1,0,2,0,13,0.422,0,0,0.422
258,1,0,2,0,16,0.500,0,0,0.500
259,13,6,8,19,211,0.549,6,0,1.387
260,1,0,2,0,3,0.138,0,0,0.138
261,1,0,2,0,23,0.716,0,0,0.716
262,3,1,3,1,36,0.392,1,0,0.489
263,16,7,10,24,245,0.522,6,1,1.064
264,1,0,2,0,1,0.052,0,0,0.052
265,1,0,2,0,4,0.164,0,0,0.164
266,1,0,2,0,3,0.138,0,0,0.138
267,3,1,3,3,60,0.644,1,0,1.101
268,1,0,2,0,35,1.140,0,0,1.140
269,1,0,2,0,0,0.037,0,0,0.037
270,1,0,2,0,0,0.037,0,0,0.037
271,1,0,2,0,0,0.026,0,0,0.026
272,7,3,5,8,132,0.624,3,0,1.172
273,1,0,2,0,1,0.063,0,0,0.063
274,1,0,2,0,5,0.201,0,0,0.201
275,3,1,3,3,5,0.106,1,0,0.127
276,1,0,2,0,5,0.168,0,0,0.168
277,5,2,4,7,36,0.264,2,0,0.452
278,8,3,6,15,100,0.455,2,1,1.011
279,0,0,1,0,0,0.000,0,0,0.000
280,1,0,2,0,1,0.063,0,0,0.063
281,1,0,2,0,23,0.760,0,0,0.760
282,1,0,2,0,2,0.100,0,0,0.100
283,1,0,2,0,5,0.179,0,0,0.179
284,1,0,2,0,0,0.026,0,0,0.026
285,1,0,2,0,0,0.026,0,0,0.026
286,1,0,2,0,0,0.026,0,0,0.026
